"disease","overview","symptoms","cautions","medications","prevention","treatment"
"Guillain–Barré Syndrome","Acute immune-mediated polyneuropathy causing rapidly progressive ascending weakness and potential respiratory failure.","ascending weakness; areflexia; paresthesias; variable autonomic dysfunction","Hospitalize for monitoring of respiratory and autonomic function; may progress rapidly","IV immunoglobulin or plasmapheresis are effective when started early","Infection prevention; early recognition after antecedent infection","Urgent supportive care with respiratory monitoring, IVIG or plasmapheresis, rehabilitation"
"Chronic Fatigue Syndrome (ME/CFS)","Complex, multisystem condition characterized by profound fatigue and post-exertional malaise not relieved by rest.","debilitating fatigue; post-exertional malaise; cognitive dysfunction; unrefreshing sleep","Multidisciplinary management recommended; validate patient symptoms","Symptomatic management (sleep hygiene, graded activity cautiously), CBT may help some patients","Pacing and energy management strategies; avoid overexertion","Supportive multidisciplinary care focusing on symptom management and pacing"
"Fibromyalgia","Chronic pain syndrome with widespread musculoskeletal pain, fatigue, and sleep disturbance.","widespread chronic pain; tender points; fatigue; sleep problems; cognitive symptoms","Holistic management approach; avoid over-reliance on opioids","Analgesics, certain antidepressants and anticonvulsants may help symptom control","Regular exercise, sleep hygiene, stress management","Multimodal care with exercise, cognitive-behavioral approaches, and pharmacologic symptom control"
"Chronic Pelvic Pain Syndrome (Male & Female)","Persistent non-cyclical pelvic pain affecting quality of life with multifactorial causes.","chronic pelvic pain; urinary symptoms; sexual dysfunction; emotional impact","Comprehensive assessment to exclude treatable causes; multidisciplinary care","Symptom-targeted therapies including pain modulators, pelvic physiotherapy","Pelvic floor exercises; stress management; early treatment of urological/gynaecological causes","Treat underlying causes when identified; multidisciplinary pain management and physiotherapy"
"Interstitial Cystitis/Bladder Pain Syndrome","Chronic bladder/pelvic pain disorder with urinary urgency and frequency often without clear infection.","bladder pain; urinary frequency/urgency; dyspareunia","Rule out infection and other causes before labeling; multidisciplinary care","Bladder instillations, oral medications (amitriptyline), pain management and physiotherapy","Avoid bladder irritants (caffeine, spicy foods); bladder training","Lifestyle modification, bladder-directed therapies, pelvic floor rehabilitation; specialized care for refractory cases"
"Chronic Migraine (Refractory)","Frequent disabling headaches occurring on ≥15 days per month with migrainous features on many days.","frequent headaches; medication overuse can worsen condition; nausea and sensitivity to light/sound","Avoid medication overuse; specialist headache clinic referral for refractory cases","Preventive therapies (beta blockers, anticonvulsants), CGRP inhibitors for eligible patients","Identify and avoid triggers; sleep and stress management","Preventive pharmacotherapy, botulinum toxin injections for some patients, neuromodulation and multidisciplinary care"
"Temporomandibular Joint Disorder (TMJ)","Jaw joint dysfunction causing facial pain, limited mouth opening, and clicking or locking of the jaw.","jaw pain; difficulty chewing; clicking/popping of joint; headaches","Avoid overuse of jaw; dental referral when structural problems suspected","Analgesics, mouth guards for bruxism, physiotherapy; dental interventions if indicated","Avoid hard foods; manage stress and bruxism; dental hygiene","Conservative care with physiotherapy, occlusal splints, dental/orthodontic corrective measures for structural issues"
"Periodontitis","Chronic inflammatory gum disease leading to tooth-supporting structure loss and potential systemic links to cardiovascular disease.","bleeding gums; receding gums; tooth mobility; bad breath","Urgent dental review for loose teeth; maintain oral hygiene to prevent progression","Professional dental cleaning (scaling), topical or systemic antibiotics in specific cases","Regular dental check-ups; daily flossing and brushing; smoking cessation","Periodontal therapy including scaling/root planing, possible surgery, ongoing maintenance and hygiene"
"Dental Caries (Tooth Decay)","Progressive demineralization of tooth enamel caused by bacterial acids resulting in cavities and pain if advanced.","tooth sensitivity; localized pain; visible pits or holes in teeth","Early dental care prevents progression; treat promptly to avoid abscess","Restorative dental treatment (fillings); fluoride therapy; endodontic treatment for deep decay","Fluoride toothpaste; reduce sugar intake; regular dental visits","Restoration of carious lesions, root canal therapy for pulp involvement, extraction when tooth non-restorable"
"Osteomyelitis (Bone Infection)","Infection of bone and bone marrow often secondary to trauma, surgery, or spread from adjacent tissue.","localized bone pain; fever; swelling; reduced function of affected limb","Prompt diagnosis and treatment to prevent chronic disease and sequestra formation","Prolonged targeted antibiotics; surgical debridement when needed","Prompt care of wounds and skin infections; sterile technique in procedures","Long-course antibiotics guided by cultures, surgical debridement for necrotic bone, orthopedic follow-up"
"Septic Arthritis","Infection within a joint causing severe pain and rapid joint destruction if not treated promptly.","acute severe joint pain; swelling; erythema; fever; inability to move joint","Emergency orthopedic and infectious disease evaluation required","Joint drainage and targeted IV antibiotics","Prompt treatment of bacteremia and infections; joint protection","Urgent joint aspiration/drainage and IV antibiotics; pain control and rehabilitation"
"Rheumatic Heart Disease","Cardiac valve damage following untreated or severe group A streptococcal infection in childhood.","valvular murmurs; heart failure signs in advanced disease; palpitations","Preventable with early treatment of strep throat; long-term cardiology follow-up for affected individuals","Long-term secondary prophylaxis with penicillin where indicated; manage heart failure medically","Prompt diagnosis and treatment of streptococcal infections; vaccination research ongoing","Medical management of heart failure symptoms; valve repair or replacement when indicated; secondary prophylaxis programs"
"Acute Liver Failure","Rapid loss of liver function with coagulopathy and encephalopathy; multiple causes including drug-induced and viral.","jaundice; confusion; bleeding; low urine output; abdominal pain","Medical emergency—urgent referral to transplant center when criteria met","Supportive ICU care; treat specific causes (antidotes like N-acetylcysteine for paracetamol toxicity)","Avoid hepatotoxins; vaccination where applicable (hepatitis A/B)","Intensive supportive care; treat underlying cause; liver transplant evaluation for irreversible failure"
"Chronic Liver Disease (Cirrhosis)","Progressive scarring of the liver with portal hypertension and multi-system complications.","fatigue; jaundice; ascites; easy bruising; encephalopathy in advanced stages","Vaccinate against hepatitis where appropriate; avoid alcohol in liver disease","Treat complications (diuretics for ascites, lactulose for encephalopathy); manage underlying causes","Limit alcohol; treat viral hepatitis; weight management for NAFLD","Manage portal hypertension and complications, treat underlying cause, transplant evaluation for end-stage disease"
"Non-Alcoholic Fatty Liver Disease (NAFLD)","Fat accumulation in the liver related to metabolic syndrome which can progress to steatohepatitis and cirrhosis.","often asymptomatic; fatigue; elevated liver enzymes on blood tests","Address metabolic risk factors early to prevent progression","Lifestyle measures to reduce weight; manage diabetes and dyslipidemia; specialist care for NASH","Weight loss; exercise; control of diabetes and lipids","Lifestyle modification is cornerstone; treat metabolic comorbidities and consider specialist trials for NASH"
"Acute Pancreatitis (Severe)","Sudden pancreatic inflammation with potential for multi-organ failure and necrosis in severe cases.","severe epigastric pain radiating to back; vomiting; systemic inflammatory response","Admit for monitoring and early aggressive supportive care; consider ICU for organ dysfunction","Aggressive IV fluids, analgesia, organ support; treat underlying cause","Avoid heavy alcohol use; manage gallstones proactively","Hospitalization with fluid resuscitation, pain control, nutritional support, interventions for complications such as necrosis or infected collections"
"Alcohol-Related Liver Disease","Liver injury spectrum from steatosis to alcoholic hepatitis and cirrhosis due to chronic alcohol use.","fatigue; jaundice; hepatomegaly; ascites; risk of bleeding","Early alcohol cessation improves outcomes; specialist addiction support recommended","Supportive care and management of complications; consider corticosteroids for severe alcoholic hepatitis in selected cases","Avoid alcohol; seek addiction services early","Alcohol cessation and supportive management; treat complications; transplant considered in selected patients after abstinence and evaluation"
"Alcohol Withdrawal Syndrome","Symptom complex after abrupt cessation or reduction of heavy/prolonged alcohol use, can be life-threatening.","tremor; agitation; sweating; hallucinations; seizures in severe cases","Hospitalize for severe withdrawal or seizure risk; benzodiazepines under supervision are usually required","Benzodiazepines for symptomatic control in supervised setting; supportive care and thiamine supplementation","Avoid abrupt cessation without medical advice for heavy drinkers; seek supervised detoxification","Medical supervision with benzodiazepines, fluids, nutrition, thiamine; treat complications such as delirium tremens in ICU"
"Opioid Use Disorder","Chronic relapsing condition characterized by compulsive opioid use despite harm, with risk of overdose.","cravings; loss of control over use; withdrawal symptoms; social/occupational impairment","Provide harm reduction (naloxone) and evidence-based treatment; avoid punitive approaches","Medication-assisted treatment (methadone, buprenorphine) plus psychosocial therapies","Harm reduction services; supervised treatment programs; naloxone distribution","Medication-assisted treatment combined with counseling and social support; overdose prevention measures"
"Acute Poisoning (General)","Toxic exposure to chemicals, pharmaceuticals, or toxins requiring rapid assessment and targeted management.","variable depending on toxin: CNS depression, seizures, vomiting, metabolic disturbances","Immediate emergency care; supportive measures and specific antidotes when available","Supportive care; specific antidotes where indicated (e.g., naloxone for opioid overdose)","Safe storage of chemicals and medications; poison control resources","Emergency decontamination and supportive care; antidotes if available; critical care for severe cases"
"Sequelae of COVID-19 (Long COVID)","Persistent or new symptoms following acute SARS-CoV-2 infection affecting multiple organ systems.","persistent fatigue; cognitive impairment ('brain fog'); dyspnea; chest pain; palpitations","Comprehensive multidisciplinary assessment recommended for prolonged symptoms","Symptomatic management; tailored rehabilitation and specialist referrals","Vaccination reduces severe disease and may reduce long COVID risk; pacing and rehabilitation strategies","Multidisciplinary rehabilitation, symptom-targeted therapies, investigation for organ-specific sequelae and supportive care"
"Postoperative Wound Infection","Infection at surgical incision site presenting days after surgery; can progress to deeper infection if untreated.","localized pain; redness; swelling; purulent discharge; fever in systemic spread","Early recognition important to prevent dehiscence and systemic infection","Antibiotics guided by culture; local wound care and drainage if needed","Aseptic technique in surgery; wound hygiene postoperatively","Wound assessment, drainage of abscesses, targeted antibiotics, surgical debridement for severe cases"
"Pressure Ulcer (Decubitus)","Localized injury to skin/underlying tissue from prolonged pressure, often in immobile patients.","skin breakdown over bony prominences; pain; purulent discharge if infected","Regular repositioning and pressure care essential to prevent progression","Debridement, topical care, antibiotics if infected","Regular repositioning, specialized mattresses, skin care","Pressure relief, wound care, debridement, nutritional support, and treatment of infection when present"
"Complex Regional Pain Syndrome (CRPS)","Chronic pain condition usually following injury or surgery with autonomic and trophic changes in the limb.","severe burning pain; swelling; colour and temperature changes; diminished function","Early referral to pain specialist increases chance of better outcomes","Multimodal pain management (analgesics, neuropathic agents), physiotherapy","Early mobilization after injury; pain management strategies","Multidisciplinary pain management including physiotherapy, medications, interventional procedures for refractory cases"
"Post-traumatic Stress Disorder (PTSD)","Psychiatric disorder following exposure to traumatic events leading to persistent intrusive symptoms and avoidance.","flashbacks; nightmares; hypervigilance; avoidance; functional impairment","Early trauma-informed care; risk of self-harm in severe cases","Trauma-focused psychotherapy (CBT, EMDR) and medications in selected patients","Safety planning and social support after traumatic events; early psychological support","Evidence-based psychotherapies are first-line; pharmacotherapy when indicated and crisis support if safety concerns arise"
"Burns (Partial-Thickness and Full-Thickness)","Thermal, chemical, or electrical injury causing skin and underlying tissue damage with infection and fluid-loss risks.","pain; blistering; charred skin; shock in extensive burns","Major burns need fluid resuscitation and specialist burns-unit care","Analgesia, topical antimicrobials, tetanus prophylaxis when indicated","Fire safety, workplace precautions, proper handling of hot liquids","Initial cooling and resuscitation, wound care, burn unit care for major burns, surgical grafting when needed"
"Traumatic Brain Injury (Moderate-Severe)","Acquired brain injury from external force causing cognitive, motor, and autonomic sequelae.","loss of consciousness; headache; memory problems; focal neurological deficits","Urgent neuroimaging and neurosurgical assessment for severe injury; monitor for raised intracranial pressure","Supportive critical care including intracranial pressure control and surgical intervention when needed","Use helmets and seatbelts; workplace safety measures","Acute neurosurgical and critical care management, rehabilitation for long-term deficits, multidisciplinary support"
"Spinal Cord Injury","Traumatic damage to spinal cord resulting in motor, sensory, and autonomic dysfunction below the lesion level.","paralysis; loss of sensation; bowel/bladder dysfunction; autonomic instability in high lesions","Spinal immobilization at scene, urgent neurosurgical/orthopedic evaluation","High-dose rehabilitation-focused care; manage complications like neurogenic bladder and pressure ulcers","Safe work and transport practices; fall prevention","Acute stabilization, surgical decompression if indicated, intensive rehabilitation and long-term multidisciplinary care"
"Fracture (Open and Closed)","Break in bone continuity; open fractures carry infection risk and need urgent care.","localized pain; deformity; swelling; inability to bear weight","Open fractures are emergency—cover wound and urgent orthopedic care","Immobilization, analgesia, antibiotics for open fractures, surgical fixation as required","Use protective equipment for risk activities; fall prevention in elderly","Reduction and immobilization, surgical fixation for displaced fractures, antibiotic therapy for open fractures, physiotherapy for recovery"
"Compartment Syndrome","Raised pressure in a closed muscle compartment causing ischemia and potential permanent damage if untreated.","severe pain out of proportion to injury, tense swollen compartment, pain on passive stretch","Emergency diagnosis—fasciotomy required to prevent permanent loss of limb function","Emergency surgical fasciotomy is definitive","Protective measures to reduce crush injuries; early fracture care","Urgent fasciotomy to relieve pressure, supportive care, rehabilitation"
"Tonsillitis","Inflammation of the tonsils due to viral or bacterial infection; common in children.","sore throat; fever; difficulty swallowing; swollen lymph nodes","Seek care if severe pain or breathing issues","Analgesics; antibiotics (if bacterial)","Hand hygiene; avoid sharing utensils","Rest; hydration; antibiotics if indicated"
"Appendicitis","Inflammation of the appendix requiring urgent care.","Right lower abdominal pain; nausea; vomiting; fever","Emergency if pain worsens or with rebound tenderness","IV fluids; antibiotics","No proven prevention","Surgical removal (appendectomy)"
"Scabies","Skin infestation by mites causing intense itching.","Itchy rash; burrows; worse at night","Treat all close contacts simultaneously","Permethrin cream; ivermectin (oral)","Wash bedding and clothes; avoid skin contact","Topical or oral antiparasitic agents"
"Migraine","Recurrent moderate-to-severe headaches often with nausea or light sensitivity.","Throbbing head pain; visual aura; nausea; photophobia","Rule out secondary causes if new or severe","Triptans; NSAIDs; prophylactic beta-blockers","Avoid triggers (stress, sleep loss, certain foods)","Pain relief and preventive medications"
"Psoriasis","Chronic autoimmune skin disorder causing scaly patches.","Red scaly plaques; itching; joint pain (psoriatic arthritis)","Avoid skin trauma; monitor for arthritis","Topical corticosteroids; biologics; vitamin D analogs","Stress management; skin hydration","Topical/systemic therapy based on severity"
"Eczema (Atopic Dermatitis)","Chronic inflammatory skin disease with itching and dryness.","Itchy rash; dry skin; redness","Avoid scratching; risk of infection","Moisturizers; corticosteroids; antihistamines","Gentle skincare; avoid triggers","Hydration; topical anti-inflammatory therapy"
"Sinusitis","Infection or inflammation of sinus cavities.","Facial pain; nasal congestion; headache; fever","Persistent symptoms >10 days may indicate bacterial cause","Decongestants; antibiotics (if bacterial)","Manage allergies; avoid smoke","Steam inhalation; nasal saline; antibiotics if bacterial"
"Conjunctivitis (Pink Eye)","Eye inflammation due to infection or allergy.","Red eyes; discharge; itching; tearing","Highly contagious; maintain hygiene","Antibiotic or antihistamine drops","Hand hygiene; avoid sharing eye products","Eye drops; avoid touching eyes"
"UTI (Urinary Tract Infection)","Bacterial infection of urinary system.","Burning urination; urgency; lower abdominal pain","If fever/back pain → may indicate kidney infection","Nitrofurantoin; trimethoprim-sulfamethoxazole","Hydration; proper hygiene; urinate after sex","Antibiotics and fluids"
"Hemorrhoids (Piles)","Swollen veins in rectum/anus causing pain and bleeding.","Bleeding after defecation; anal pain; swelling","Avoid straining; rule out rectal cancer if persistent","Topical ointments; stool softeners","High-fiber diet; hydration","Sitz baths; topical relief; surgery if severe"
"Peptic Ulcer","Open sores in stomach or duodenal lining often due to H. pylori or NSAIDs.","Abdominal pain; bloating; nausea; heartburn","Avoid alcohol, smoking, and NSAID overuse","Proton pump inhibitors; antibiotics for H. pylori","Limit NSAIDs; avoid smoking","Antibiotic eradication therapy; acid suppression"
"Gout","Arthritis due to uric acid crystal buildup.","Joint pain (often big toe); redness; swelling","Avoid alcohol and purine-rich foods","NSAIDs; colchicine; allopurinol","Healthy diet; weight control","Pain relief and urate-lowering therapy"
"Bronchitis","Inflammation of bronchial tubes usually following a viral infection.","Cough; mucus production; fatigue; chest discomfort","See doctor if cough persists >3 weeks","Cough suppressants; bronchodilators","Avoid smoking; flu vaccination","Rest; fluids; symptomatic relief"
"Varicose Veins","Enlarged, twisted veins due to valve failure in legs.","Visible veins; leg pain; heaviness","Avoid prolonged standing","Compression stockings; vein ablation","Regular exercise; weight management","Compression therapy or surgical options"
"Gallstones","Crystallized bile deposits forming in gallbladder.","Abdominal pain after fatty meals; nausea; vomiting","Seek care if severe pain or jaundice","Pain relief; surgery if recurrent","Healthy diet; weight management","Laparoscopic cholecystectomy if symptomatic"
"Pancreatitis","Inflammation of the pancreas, often alcohol or gallstone-related.","Severe upper abdominal pain; vomiting; fever","Can be life-threatening; hospital care needed","IV fluids; pain relief","Avoid alcohol; manage triglycerides","Hospital management; supportive care"
"Allergic Rhinitis","Nasal inflammation triggered by allergens.","Sneezing; runny nose; itchy eyes","Avoid known allergens","Antihistamines; nasal corticosteroids","Avoid triggers; air filtration","Allergen avoidance and medication"
"Hives (Urticaria)","Allergic skin reaction with itchy raised welts.","Red, raised, itchy bumps on skin","Seek care if associated with breathing difficulty","Antihistamines; corticosteroids","Avoid allergens and stress","Symptomatic relief and trigger management"
"Anemia (Iron Deficiency)","Low hemoglobin due to iron loss or poor intake.","Fatigue; pallor; shortness of breath","Check for underlying bleeding source","Iron supplements; dietary iron","Iron-rich foods; treat underlying cause","Iron replacement therapy"
"Vitiligo","Loss of skin pigment due to autoimmune destruction of melanocytes.","Pale white patches on skin","No danger but psychological stress common","Topical corticosteroids; phototherapy","Sun protection; counseling","Skin camouflage and repigmentation therapy"
"Gallbladder Cancer","Rare malignancy of gallbladder lining.","Right upper abdominal pain; jaundice; weight loss","Poor prognosis; early detection important","Chemotherapy; surgery","Healthy diet; avoid gallstones","Surgical removal if resectable"
"Cervical Spondylosis","Degeneration of neck vertebrae causing pain and stiffness.","Neck pain; numbness in arms; headaches","Avoid sudden jerks or poor posture","Pain relievers; physiotherapy","Regular exercise; posture correction","Physical therapy; surgery if nerve compression"
"Epilepsy","Chronic neurological disorder with recurrent seizures.","Seizures; confusion; loss of consciousness","Avoid driving until controlled","Antiepileptics (valproate, carbamazepine)","Medication adherence; sleep hygiene","Long-term medication management"
"Restless Leg Syndrome","Urge to move legs at rest, disrupting sleep.","Leg discomfort; insomnia","Avoid caffeine and alcohol","Dopamine agonists; iron supplements","Sleep hygiene; exercise","Medication for symptom control"
"Glaucoma","Increased intraocular pressure damaging optic nerve.","Vision loss; eye pain; halos around lights","Regular eye exams essential","Eye drops (latanoprost, timolol)","Routine screening","Laser or surgical pressure reduction"
"Cataract","Clouding of the eye’s lens, causing blurred vision.","Blurry vision; glare; color fading","Surgery needed if vision severely affected","None specific","UV protection; control diabetes","Lens replacement surgery"
"Otitis Media (Ear Infection)","Infection of middle ear common in children.","Ear pain; fever; hearing difficulty","Seek care if recurrent","Antibiotics; analgesics","Vaccination; hygiene","Medication or tympanostomy if recurrent"
"Thyroid Nodules","Lumps in thyroid gland; mostly benign.","Neck swelling; hoarseness","Assess malignancy via biopsy","Thyroid hormone therapy if indicated","Iodine sufficiency","Observation or surgery if cancerous"
"Hyperthyroidism","Excess thyroid hormone production.","Weight loss; tremor; palpitations","Monitor heart rate and bone health","Methimazole; beta-blockers","Regular follow-up","Antithyroid drugs or radioactive iodine"
"Hypothyroidism","Underactive thyroid gland causing slow metabolism.","Fatigue; weight gain; cold intolerance","Regular medication adherence","Levothyroxine","Iodine sufficiency; early detection","Lifelong thyroid hormone replacement"
"Chronic Sinus Headache","Recurrent sinus pain due to chronic inflammation.","Facial pressure; nasal congestion","Rule out migraine or infection","Nasal steroids; decongestants","Allergy management","Treat infection and reduce inflammation"
"Motion Sickness","Nausea from movement (travel-related).","Dizziness; nausea; sweating","Avoid reading or screens while moving","Dimenhydrinate; meclizine","Sit facing travel direction","Antihistamines or scopolamine patch"
"Insomnia","Difficulty falling or staying asleep.","Fatigue; poor concentration; irritability","Avoid caffeine and late screens","Melatonin; sleep aids (short-term)","Good sleep hygiene","Cognitive-behavioral therapy for insomnia"
"Sleep Apnea","Breathing stops during sleep causing poor rest.","Snoring; daytime sleepiness; choking at night","Untreated cases raise heart risk","CPAP therapy; weight loss","Maintain healthy weight","Continuous positive airway pressure use"
"Chronic Fatigue Syndrome","Long-term fatigue not relieved by rest.","Extreme tiredness; poor focus; body aches","Exclude thyroid or infection causes","Antidepressants; graded exercise","Stress management","Symptom-based multidisciplinary care"
"IBS (Irritable Bowel Syndrome)","Functional gut disorder without structural disease.","Abdominal cramps; bloating; irregular bowel habits","Identify and avoid trigger foods","Antispasmodics; probiotics","Dietary fiber; low-FODMAP diet","Lifestyle and dietary modification"
"Gastritis","Inflammation of stomach lining due to infection or NSAIDs.","Upper abdominal pain; nausea; bloating","Avoid alcohol and NSAIDs","Antacids; proton pump inhibitors","Avoid irritants","Treat cause and reduce acid"
"Celiac Disease","Autoimmune reaction to gluten causing intestinal damage.","Chronic diarrhea; weight loss; fatigue","Malabsorption risks if untreated","Vitamin supplements","Strict gluten-free diet","Lifelong gluten avoidance"
"Lactose Intolerance","Inability to digest lactose (milk sugar).","Bloating; diarrhea; gas after dairy","Non-dangerous but uncomfortable","Lactase tablets","Avoid or limit dairy","Dietary modification"
"Heat Stroke","Severe overheating leading to organ failure.","High body temp; confusion; no sweating","Medical emergency","Cooling measures; IV fluids","Stay hydrated; avoid heat exposure","Rapid cooling and emergency support"
"Frostbite","Tissue freezing injury from extreme cold.","Numbness; pale skin; blisters","Can cause tissue loss","Rewarming; pain control","Proper cold-weather gear","Gradual rewarming; avoid refreezing"
"Dehydration","Fluid loss causing electrolyte imbalance.","Dry mouth; weakness; dizziness","Severe cases need IV fluids","Oral rehydration salts","Adequate fluid intake","Rehydration therapy"
"Anxiety Disorder","Excessive worry interfering with daily life.","Restlessness; palpitations; irritability","Seek professional help if persistent","SSRIs; anxiolytics","Relaxation; therapy","Cognitive-behavioral therapy; medication"
"Depression","Mood disorder with persistent sadness and loss of interest.","Low mood; fatigue; suicidal thoughts","Immediate help if suicidal","Antidepressants; psychotherapy","Exercise; social support","Medication and therapy"
"Panic Disorder","Sudden episodes of intense fear and physical symptoms.","Chest pain; breathlessness; dizziness","May mimic heart attack; rule out cardiac cause","SSRIs; benzodiazepines","Stress management","Therapy and medication"
"ADHD (Attention Deficit Hyperactivity Disorder)","Neurodevelopmental disorder causing inattention and impulsivity.","Difficulty focusing; hyperactivity; impulsive actions","Affects academics and social life","Stimulant medication; behavioral therapy","Structured routines","Medication and counseling"
"Autism Spectrum Disorder","Developmental condition affecting communication and behavior.","Social difficulty; repetitive actions","Early intervention crucial","No specific drugs","Prenatal care; early screening","Behavioral and occupational therapy"
"Vertigo (Labyrinthitis)","Inner ear imbalance causing dizziness and nausea.","Spinning sensation; vomiting","Avoid driving during attacks","Meclizine; vestibular therapy","Treat ear infections","Rest and vestibular rehab"
"Plantar Fasciitis","Inflammation of heel fascia causing morning foot pain.","Heel pain worse on first steps","Avoid prolonged standing","NSAIDs; shoe inserts","Proper footwear; stretching","Rest; physiotherapy"
"Shingles (Herpes Zoster)","Reactivation of chickenpox virus causing painful rash.","Painful rash; blisters; burning","Contagious to non-immune persons","Antivirals; pain control","Vaccination","Antiviral therapy within 72 hours"
"Lyme Disease","Tick-borne bacterial infection causing rash and systemic illness.","Rash (bull’s-eye); fever; fatigue; joint pain","Seek care after tick bite","Doxycycline","Avoid tick bites; insect repellents","Antibiotic course"
"Chickenpox","Viral infection causing itchy blister rash.","Fever; rash; fatigue","Avoid contact with newborns and immunocompromised","Antihistamines; antivirals (if severe)","Vaccination","Symptomatic care and rest"
"Mumps","Viral illness causing salivary gland swelling.","Facial swelling; fever; headache","Can cause infertility in males","Symptomatic care","MMR vaccination","Supportive treatment"
"Measles","Highly contagious viral infection with rash and fever.","Fever; cough; runny nose; rash","Serious in children; reportable","Vitamin A; supportive care","MMR vaccination","Supportive therapy"
"Rubella","Viral infection with mild rash but dangerous in pregnancy.","Rash; mild fever; lymph node swelling","Avoid exposure during pregnancy","None specific","MMR vaccination","Symptomatic care"
"Whooping Cough (Pertussis)","Bacterial respiratory infection causing severe cough.","Prolonged coughing fits; vomiting","Can be fatal in infants","Azithromycin; supportive care","DTaP vaccination","Antibiotic treatment and isolation"
